US Females T-20		US Females T+20		Hadza T-20		Hadza T+20		Type II T-20		Type II T+20
0.4751209		0.4985874		0.4723631		0.4950064		0.4924603		0.4965519
0.4749045		0.4985694		0.472279		0.4950118		0.4923513		0.4965394
0.4746616		0.4985521		0.4717652		0.4950259		0.4922508		0.4965269
0.4744072		0.4985351		0.4713346		0.4950445		0.4921415		0.4965167
0.4741988		0.4985178		0.4705712		0.4950651		0.4920391		0.4965049
0.4739696		0.4985012		0.4703042		0.4950803		0.4919836		0.496484
0.4737558		0.4984843		0.4698165		0.4950965		0.4918806		0.4964619
0.4734981		0.4984672		0.4696202		0.4951109		0.4917028		0.4964347
0.4731569		0.4984502		0.4692979		0.4951199		0.4916035		0.496402
0.4728631		0.4984325		0.4687914		0.4951264		0.4916289		0.4963699
0.4726446		0.4984144		0.4683549		0.4951248		0.4915779		0.496334
0.472418		0.4983963		0.4682679		0.4951176		0.4914659		0.4962982
0.4720276		0.4983775		0.4679435		0.4951072		0.4913363		0.4962632
0.4716566		0.4983584		0.4676927		0.4950919		0.4912253		0.4962242
0.4713147		0.4983389		0.4674046		0.4950779		0.4910533		0.4961844
0.4710302		0.4983192		0.4668714		0.495056		0.4909595		0.4961461
0.4705783		0.4982993		0.4665588		0.4950346		0.4908591		0.4961022
0.4700766		0.4982795		0.4663372		0.4950054		0.4906431		0.4960591
0.4696916		0.4982597		0.4662845		0.4949711		0.4905973		0.496013
0.469361		0.4982399		0.4659833		0.4949394		0.4905847		0.4959676
0.4690214		0.4982204		0.4652575		0.4948982		0.4905196		0.495921
0.4686788		0.4982018		0.4649627		0.4948523		0.4905014		0.4958753
0.4684385		0.4981837		0.4649347		0.4948052		0.4903768		0.4958258
0.4683513		0.4981663		0.4644594		0.4947522		0.4902619		0.4957829
0.4681274		0.4981492		0.4643133		0.4946978		0.4902178		0.4957403
0.4678737		0.4981323		0.4642217		0.4946365		0.4901532		0.4956991
0.4675741		0.4981157		0.4639889		0.4945708		0.490112		0.4956648
0.4672611		0.4980991		0.4641589		0.4945024		0.4899692		0.4956317
0.4668687		0.4980826		0.4637427		0.4944308		0.4899019		0.495601
0.4665687		0.4980664		0.4633271		0.4943606		0.4898318		0.4955741
0.466247		0.4980502		0.4630141		0.4942909		0.4896977		0.4955451
0.4659368		0.4980337		0.4628912		0.4942201		0.4895941		0.4955217
0.4655705		0.498017		0.4624856		0.4941459		0.4895747		0.495499
0.4652199		0.4980003		0.462015		0.4940716		0.4895258		0.495472
0.4649599		0.497983		0.4616686		0.4940023		0.4895505		0.4954473
0.4646229		0.4979656		0.4616791		0.4939328		0.4895018		0.4954203
0.4640758		0.4979481		0.4614173		0.4938732		0.4893984		0.4953887
0.463497		0.4979302		0.4613159		0.4938192		0.4893919		0.4953506
0.4631027		0.4979115		0.4609665		0.4937626		0.4893198		0.4953132
0.4628139		0.4978927		0.4604982		0.4937198		0.4892298		0.4952686
0.4625073		0.4978729		0.4603685		0.4936868		0.4892531		0.4952183
0.4622426		0.4978524		0.460204		0.4936639		0.4891773		0.4951718
0.4619444		0.4978309		0.4596593		0.4936594		0.4890754		0.4951209
0.4616313		0.4978086		0.4591032		0.4936601		0.4889576		0.4950683
0.4614671		0.4977857		0.4587811		0.4936687		0.4888722		0.4950222
0.4612076		0.4977625		0.4586573		0.4936875		0.4887924		0.4949806
0.4610006		0.497739		0.4582303		0.4937131		0.4886872		0.4949434
0.4609446		0.4977155		0.4579041		0.49374			0.4886214		0.4949117
0.4607005		0.4976908		0.4579998		0.4937652		0.488444		0.4948824
0.4602548		0.4976663		0.4579417		0.4937895		0.4883873		0.4948544
0.4598356		0.4976422		0.457264		0.4938026		0.4882362		0.4948279
0.4596237		0.4976188		0.4568541		0.4938078		0.4881303		0.4947953
0.4594337		0.4975955		0.4566283		0.4938028		0.4880091		0.4947595
0.45928			0.4975733		0.4565089		0.4937828		0.4879706		0.4947237
0.4591552		0.4975512		0.4561878		0.493755		0.4878987		0.4946781
0.4590538		0.4975301		0.456519		0.4937204		0.4878856		0.4946295
0.4586082		0.4975098		0.4563074		0.4936781		0.4876991		0.4945798
0.4582618		0.4974905		0.4559957		0.4936262		0.4876538		0.4945253
0.4578148		0.4974715		0.4557073		0.4935699		0.4875429		0.4944634
0.4574024		0.4974528		0.4553231		0.4935089		0.4874307		0.4944071
0.4570606		0.4974347		0.4555823		0.4934491		0.4873053		0.494351
0.4566729		0.497417		0.4552373		0.493392		0.4871353		0.494298
0.4562528		0.4973991		0.4552619		0.4933329		0.4869549		0.4942508
0.4557549		0.4973819		0.4551086		0.4932788		0.4867543		0.4942124
0.4553932		0.4973651		0.4546578		0.4932269		0.4867266		0.4941741
0.4552542		0.4973488		0.454532		0.4931804		0.4866295		0.4941445
0.455134		0.4973314		0.4544218		0.4931389		0.4865109		0.4941231
0.4548602		0.4973141		0.4539899		0.4930968		0.4864086		0.4941069
0.4545089		0.4972968		0.4537561		0.4930583		0.4862986		0.4940897
0.4542686		0.4972794		0.4532789		0.4930219		0.4860828		0.4940818
0.4540818		0.4972627		0.4528751		0.4929889		0.4860308		0.4940766
0.4538049		0.497246		0.4525075		0.4929546		0.4859029		0.4940726
0.4535834		0.4972297		0.4523042		0.4929182		0.4857497		0.4940623
0.4532751		0.4972139		0.4517988		0.4928783		0.4856055		0.4940446
0.452937		0.4971987		0.4513851		0.4928341		0.4856062		0.494021
0.4525934		0.4971841		0.45094			0.4927916		0.4854626		0.4939967
0.4522095		0.4971695		0.4501298		0.4927471		0.4853821		0.4939562
0.45196			0.4971557		0.4502247		0.4926989		0.4853264		0.4939144
0.4515194		0.4971419		0.45007			0.4926484		0.4852793		0.4938635
0.4511635		0.4971287		0.4493746		0.4925993		0.4851828		0.493806
